q	metric_value	metric
120.0	0.66667	AUC
120.0	0.19838	ρ
273.9375	0.7203	AUC
273.9375	0.48229	ρ
976.5	1.0	AUC
976.5	0.86754	ρ
445.09375	0.97984	AUC
445.09375	0.8453	ρ
68.875	0.93983	AUC
68.875	0.77482	ρ
649.75	0.97917	AUC
649.75	0.80175	ρ
97.9375	0.93918	AUC
97.9375	0.77408	ρ
8.3125	0.73078	AUC
8.3125	0.3251	ρ
431.9375	0.81972	AUC
431.9375	0.55869	ρ
508.25	0.95213	AUC
508.25	0.79239	ρ
45.5	0.60417	AUC
45.5	0.17415	ρ
49.0	0.63282	AUC
49.0	0.36646	ρ
320.375	0.94444	AUC
320.375	0.76599	ρ
873.375	0.99634	AUC
873.375	0.91025	ρ
85.53333333333333	0.89611	AUC
85.53333333333333	0.7637	ρ
1470.0	0.97279	AUC
1470.0	0.87382	ρ
108.5	0.6875	AUC
108.5	0.64006	ρ
373.125	0.80225	AUC
373.125	0.63327	ρ
39.875	0.71378	AUC
39.875	0.46519	ρ
92.75	0.775	AUC
92.75	0.82015	ρ
1320.75	0.73958	AUC
1320.75	0.71444	ρ
22.625	0.57393	AUC
22.625	0.15586	ρ
327.0	0.75	AUC
327.0	0.62683	ρ
486.90625	0.96799	AUC
486.90625	0.82663	ρ
45.266666666666666	0.83484	AUC
45.266666666666666	0.64607	ρ
151.25	0.6538	AUC
151.25	0.33129	ρ
30.1	0.56988	AUC
30.1	0.11408	ρ
178.58333333333334	0.94209	AUC
178.58333333333334	0.71962	ρ
420.625	0.85259	AUC
420.625	0.5795	ρ
70.0	0.66593	AUC
70.0	0.46328	ρ
830.0	0.83333	AUC
830.0	0.86783	ρ
293.25	1.0	AUC
293.25	0.83478	ρ
121.625	0.9723	AUC
121.625	0.81847	ρ
253.75	0.81727	AUC
253.75	0.63762	ρ
65.88333333333334	0.74891	AUC
65.88333333333334	0.33205	ρ
326.0	0.82313	AUC
326.0	0.58063	ρ
69.875	0.64062	AUC
69.875	0.53666	ρ
13.233333333333333	0.56017	AUC
13.233333333333333	0.2153	ρ
13.375	0.58434	AUC
13.375	0.19625	ρ
260.25	0.74026	AUC
260.25	0.50488	ρ
99.5	0.8125	AUC
99.5	0.89797	ρ
246.25	0.89542	AUC
246.25	0.56727	ρ
629.875	0.98307	AUC
629.875	0.82105	ρ
335.6875	0.76923	AUC
335.6875	0.33697	ρ
912.25	0.83333	AUC
912.25	0.88971	ρ
1023.5	0.64583	AUC
1023.5	0.62478	ρ
108.15	0.77013	AUC
108.15	0.39582	ρ
448.84375	0.99822	AUC
448.84375	0.8916	ρ
723.3125	0.9586	AUC
723.3125	0.78818	ρ
306.125	0.9739	AUC
306.125	0.79971	ρ
96.96666666666667	0.76168	AUC
96.96666666666667	0.39314	ρ
