electrode	AFR (spikes/s)
electrode_000	3.79
electrode_001	3.2133333333333334
electrode_010	3.6066666666666665
electrode_011	1.8433333333333333
electrode_012	3.263333333333333
electrode_013	< 1 
electrode_014	2.46
electrode_015	2.79
electrode_016	3.8033333333333332
electrode_017	2.6566666666666667
electrode_018	4.293333333333333
electrode_019	3.84
electrode_002	1.9966666666666666
electrode_020	17.453333333333333
electrode_021	12.946666666666667
electrode_022	5.67
electrode_023	9.53
electrode_024	11.35
electrode_025	11.903333333333334
electrode_026	15.87
electrode_027	18.033333333333335
electrode_028	15.76
electrode_029	9.64
electrode_003	2.5766666666666667
electrode_030	16.85
electrode_031	8.893333333333333
electrode_032	13.97
electrode_033	14.476666666666667
electrode_034	20.716666666666665
electrode_035	14.423333333333334
electrode_036	12.06
electrode_037	6.93
electrode_038	11.44
electrode_039	12.67
electrode_004	1.8433333333333333
electrode_040	3.223333333333333
electrode_041	6.136666666666667
electrode_042	7.016666666666667
electrode_043	3.493333333333333
electrode_044	4.51
electrode_045	8.773333333333333
electrode_046	2.3966666666666665
electrode_047	7.996666666666667
electrode_048	3.2866666666666666
electrode_049	3.0166666666666666
electrode_005	4.12
electrode_050	5.72
electrode_051	3.4433333333333334
electrode_052	4.9366666666666665
electrode_053	7.263333333333334
electrode_054	2.4633333333333334
electrode_055	3.966666666666667
electrode_056	4.55
electrode_057	4.64
electrode_058	6.83
electrode_059	5.33
electrode_006	1.99
electrode_007	3.776666666666667
electrode_008	1.4866666666666666
electrode_009	3.15
